ts,lat,lon,time
1772082821231,34.035681,-118.169518,2026-02-26 05:13:41.231
1772082827341,34.036077,-118.167058,2026-02-26 05:13:47.341
1772082833446,34.036406,-118.164882,2026-02-26 05:13:53.446
1772082839574,34.036511,-118.162679,2026-02-26 05:13:59.574
1772082846679,34.036562,-118.160207,2026-02-26 05:14:06.679
1772082853820,34.036602,-118.157761,2026-02-26 05:14:13.820
1772082860949,34.036555,-118.155303,2026-02-26 05:14:20.949
1772082868101,34.036186,-118.152822,2026-02-26 05:14:28.101
1772082875213,34.035414,-118.150484,2026-02-26 05:14:35.213
1772082880286,34.034441,-118.148561,2026-02-26 05:14:40.286
1772082886496,34.033565,-118.146565,2026-02-26 05:14:46.496
1772082892546,34.033096,-118.144444,2026-02-26 05:14:52.546
1772082898719,34.033007,-118.142254,2026-02-26 05:14:58.719
1772082905834,34.033038,-118.139771,2026-02-26 05:15:05.834
1772082912954,34.033062,-118.13732,2026-02-26 05:15:12.954
1772082920105,34.033072,-118.134945,2026-02-26 05:15:20.105
1772082927214,34.033093,-118.132517,2026-02-26 05:15:27.214
1772082933333,34.033116,-118.129999,2026-02-26 05:15:33.333
1772082940453,34.033145,-118.127525,2026-02-26 05:15:40.453
1772082947611,34.033167,-118.125048,2026-02-26 05:15:47.611
1772082953700,34.033188,-118.122875,2026-02-26 05:15:53.700
1772082960809,34.033215,-118.120378,2026-02-26 05:16:00.809
1772082965980,34.033236,-118.118613,2026-02-26 05:16:05.980
1772082973096,34.033262,-118.116236,2026-02-26 05:16:13.096
1772082980253,34.033282,-118.113875,2026-02-26 05:16:20.253
1772082986315,34.033468,-118.111488,2026-02-26 05:16:26.315
1772082993455,34.033949,-118.109193,2026-02-26 05:16:33.455
1772083000595,34.034428,-118.106956,2026-02-26 05:16:40.595
1772083007754,34.034936,-118.104738,2026-02-26 05:16:47.754
1772083014881,34.035457,-118.102497,2026-02-26 05:16:54.881
1772083022009,34.035747,-118.100168,2026-02-26 05:17:02.009
1772083029135,34.035731,-118.097717,2026-02-26 05:17:09.135
1772083035268,34.035672,-118.095477,2026-02-26 05:17:15.268
1772083040361,34.035919,-118.093292,2026-02-26 05:17:20.361
